filename	site	time	date	type	sample	plant	bag	pump	end	equil	pumping	flowers	buds	pump_id	notes	index
L45NAug10_09022017	Lagg	N	2017-08-10	floral	45	5	20:46	21:16	21:31	0:30	0:15	1	0	DRC2		112
L21NAug10_09022017	Lagg	N	2017-08-10	floral	21	1	20:52	21:10	21:25	0:18	0:15	1	0	DRC3		78
L49NAug10_09012017	Lagg	N	2017-08-10	floral	49	9	20:56	21:26	21:41	0:30	0:15	1	0	DRC1		120
L19NAug10_09012017	Lagg	N	2017-08-10	floral	19	9	21:03	21:33	21:48	0:30	0:15	1	0	DRC3		74
L50NAug10_09012017	Lagg	N	2017-08-10	floral	50	0	21:09	21:39	21:54	0:30	0:15	1	0	DRC2		123
L18NAug10_09012017	Lagg	N	2017-08-10	floral	18	8	21:13	21:43	21:58	0:30	0:15	1	0	DRC3		72
L12NAug10really L44N_09022017	Lagg	N	2017-08-10	floral	44	4	21:19	21:49	22:04	0:30	0:15	1	0	DRC1		61
L16NAug10_09012017	Lagg	N	2017-08-10	floral	16	6	21:23	21:53	22:08	0:30	0:15	1	0	DRC6		69
L43NAug10_09022017	Lagg	N	2017-08-10	floral	43	3	21:29	21:59	22:14	0:30	0:15	1	1	DRC2		108
L15NAug10_09012017	Lagg	N	2017-08-10	floral	15	5	21:36	22:06	22:21	0:30	0:15	1	0	DRC3		67
L42NAug10_09022017	Lagg	N	2017-08-10	floral	42	2	21:44	22:14	22:29	0:30	0:15	1	0	DRC1		106
L14NAug10_09012017	Lagg	N	2017-08-10	floral	14	4	21:46	22:16	22:31	0:30	0:15	1	0	DRC6		66
L44NAug10reallyL13N_09022017	Lagg	N	2017-08-10	floral	13	3	21:56	22:26	22:41	0:30	0:15	1	0	DRC3		110
L41NAug10_09012017	Lagg	N	2017-08-10	floral	41	1	21:57	22:27	22:42	0:30	0:15	1	0	DRC2		104
L38NAug10_09012017	Lagg	N	2017-08-10	floral	38	8	22:07	22:37	22:52	0:30	0:15	1	0	DRC1		99
L12NAug10redo_09022017	Lagg	N	2017-08-10	floral	12	2	22:10	22:40	22:55	0:30	0:15	1	0	DRC6		62
	VF	D	2017-07-10	ambient	air										no ambients in metadata, added from filenames	
	VF	D	2017-07-13	ambient	air											
	VF	D	2017-07-14	ambient	air											
	Lagg	D	2017-07-18	ambient	air											
	Lagg	D	2017-07-20	ambient	air											
	Lagg	D	2017-07-21	ambient	air											
	Ihyb	D	2017-07-24	ambient	air											
	Ihyb	D	2017-07-24	ambient	airD											
	Ihyb	D	2017-07-27	ambient	air											
	VF	N	2017-07-31	ambient	air											
	Ihyb	N	2017-08-01	ambient	air											
	Lagg	N	2017-08-10	ambient	air											
	VF	D	2017-07-10	leaf	leaf										no leaf controls in metadata, added from filenames	
	VF	N	2017-07-31	leaf	leaf1										changed	
	VF	D	2017-07-13	leaf	veg											
	VF	D	2017-07-14	leaf	veg											
	Lagg	D	2017-07-18	leaf	veg											
	Lagg	D	2017-07-20	leaf	veg											
	Lagg	D	2017-07-21	leaf	veg											
	Ihyb	N	2017-08-01	leaf	veg											
	Lagg	N	2017-08-10	leaf	veg											
	Ihyb	D	2017-07-21	leaf	1											
	Ihyb	D	2017-07-24	leaf	30											
	Ihyb	D	2017-07-27	leaf	8											
